epoch,accuracy,loss,mean_absolute_error,val_accuracy,val_loss,val_mean_absolute_error
0,0.5909872651100159,1.0894930362701416,0.20930802822113037,0.6020874381065369,1.0343515872955322,0.2073347568511963
1,0.6586331129074097,0.8705859780311584,0.18356101214885712,0.5925925970077515,0.9889174699783325,0.20027276873588562
2,0.6683827042579651,0.8428734540939331,0.17870032787322998,0.61361163854599,0.9681448340415955,0.1956014484167099
3,0.6758989095687866,0.8244220614433289,0.17536580562591553,0.5878814458847046,1.0338014364242554,0.20050987601280212
4,0.6915243864059448,0.8030179738998413,0.16958874464035034,0.6581865549087524,0.9117541313171387,0.18041467666625977
5,0.734825611114502,0.733756422996521,0.15579114854335785,0.6782633662223816,0.8332294225692749,0.17008215188980103
6,0.7397214770317078,0.7213645577430725,0.15240712463855743,0.6818149089813232,0.8477842211723328,0.16906528174877167
7,0.7438139319419861,0.7124214172363281,0.15017135441303253,0.6862361431121826,0.8134981989860535,0.16497881710529327
8,0.7466866970062256,0.706322431564331,0.1486489623785019,0.6959484219551086,0.8050461411476135,0.1638881117105484
9,0.748293399810791,0.7008739709854126,0.14753130078315735,0.7006595730781555,0.8267227411270142,0.1640283614397049
10,0.7502029538154602,0.6959820985794067,0.14639173448085785,0.6910922527313232,0.8125853538513184,0.1628236174583435
11,0.7516624331474304,0.6916503310203552,0.14561858773231506,0.6933391094207764,0.7964315414428711,0.16045218706130981
12,0.752856969833374,0.6874692440032959,0.14465822279453278,0.7031963467597961,0.78357994556427,0.1595359593629837
13,0.7541902661323547,0.6848017573356628,0.14421874284744263,0.6796404719352722,0.8250969052314758,0.16186271607875824
14,0.7556960582733154,0.6804444789886475,0.14336666464805603,0.6939189434051514,0.7958422899246216,0.15927964448928833
15,0.7593005895614624,0.672340452671051,0.14242666959762573,0.7047184109687805,0.7789075970649719,0.15801696479320526
16,0.7600829601287842,0.6711941957473755,0.14217785000801086,0.7007320523262024,0.785889208316803,0.15835535526275635
