time,seconds_elapsed,accelZ,accelY,accelX,time,seconds_elapsed,gyroZ,gyroY,gyroX
1743715034904338400,0.03033837890625,0.0248065244764089,-0.0060609074741601,0.0719447077482938,1743715034904338400,0.03033837890625,-0.0071740052662789,0.0016633826307952,-0.0203045830130577
1743715034914302500,0.040302490234375,0.0199959093242883,0.013442834419012,0.0880505508314818,1743715034914302500,0.040302490234375,-0.0056834323331713,0.0044574365019798,-0.0227552037686109
1743715034924265200,0.05026513671875,0.0586924274653196,0.0273749136596918,0.0397816830292344,1743715034924265200,0.05026513671875,-0.0047092479653656,0.0052651725709438,-0.0304211117327213
1743715034934229200,0.060229248046875,0.0969388637512922,0.0260848738491535,0.0384076912622898,1743715034934229200,0.060229248046875,0.0016481594648212,0.0081721032038331,-0.0375445634126663
1743715034944192300,0.070192138671875,0.1040080714851617,-0.0254968448281288,0.0009825082313269,1743715034944192300,0.070192138671875,0.0016159352380782,0.0032697562128305,-0.0423393175005912
1743715034954155300,0.0801552734375,0.0935334392219781,-0.0272580092817544,-0.0121332131251692,1743715034954155300,0.0801552734375,0.0041508227586746,0.0039037649985402,-0.0487689599394798
1743715034964119300,0.090119384765625,0.0790904878497123,0.0055628948241472,-0.0228648888893425,1743715034964119300,0.090119384765625,0.0032248415518552,0.0038289299700409,-0.0500342287123203
1743715034974082300,0.100082275390625,0.0245516729325056,0.0007984569013118,-0.0382054466884583,1743715034974082300,0.100082275390625,0.0025498520117253,0.0070691094733774,-0.0496214106678962
1743715034984046300,0.11004638671875,-0.0104658644348382,0.0148018478125333,-0.0066935062892735,1743715034984046300,0.11004638671875,0.0048156697303056,0.0125078167766332,-0.0458796694874763
1743715034994009900,0.120009765625,-0.0337906259208917,0.0318143574118614,-0.02288344745934,1743715034994009900,0.120009765625,0.0014491929905489,0.0124354111030697,-0.0410207733511924
1743715035003973600,0.1299736328125,-0.0752443338155746,0.0600169540673494,-0.0127913117077201,1743715035003973600,0.1299736328125,0.0004124242113903,0.0071026966907083,-0.0348840504884719
1743715035013936600,0.1399365234375,-0.086730188947916,0.0572895749300718,0.0031266075879335,1743715035013936600,0.1399365234375,-0.0030010663904249,0.0046766283921897,-0.0343181118369102
1743715035023900000,0.14989990234375,-0.0392272640168666,0.0467260953396558,0.0030837182942777,1743715035023900000,0.14989990234375,-0.0045076166279613,0.0024885754100978,-0.0350776463747024
1743715035033863700,0.15986376953125,-0.0079962594509124,0.0419558121979236,0.0204893919296562,1743715035033863700,0.15986376953125,0.0008114273659884,0.0050471574068069,-0.0380273535847663
1743715035043827000,0.169826904296875,-0.0105488665431737,0.0314449395775794,0.0120763683713972,1743715035043827000,0.169826904296875,0.0078040896914899,0.0111979944631457,-0.0378430634737014
1743715035053790700,0.179790771484375,-0.0161082542359828,0.0519388615518808,-0.0206246356818825,1743715035053790700,0.179790771484375,0.0040939534083008,0.010597531683743,-0.0332293882966041
1743715035063753700,0.189753662109375,-0.0054752165406942,0.0564466943651437,-0.0266352012082934,1743715035063753700,0.189753662109375,0.0016614217311143,0.0028416076675057,-0.0334456339478492
1743715035073717800,0.1997177734375,-0.0040671033084392,0.0203957222968339,-0.0138940853178501,1743715035073717800,0.1997177734375,0.0019705803133547,-0.0020282468758523,-0.0344803184270858
1743715035083680800,0.2096806640625,0.0025105215162038,-0.0061743047207593,-0.0414338341504335,1743715035083680800,0.2096806640625,0.001944747637026,-0.0078624337911605,-0.0377895608544349
1743715035093644800,0.219644775390625,0.0089577979594469,0.0141892688721418,-0.089959891584143,1743715035093644800,0.219644775390625,-0.0025333855301141,-0.0086439559236168,-0.0402686782181263
1743715035103607600,0.229607666015625,0.0353805254608392,0.0337386034727096,-0.125639765317738,1743715035103607600,0.229607666015625,-0.0040010535158216,0.0014675334095954,-0.0448304079473018
1743715035113570800,0.23957080078125,0.046328620454669,0.0311211144506931,-0.0627392917033284,1743715035113570800,0.23957080078125,-0.0050379713065922,0.0116292862221598,-0.0419747121632099
1743715035123534600,0.24953466796875,0.0135141460895538,0.0149491473287343,-0.0068129679504781,1743715035123534600,0.24953466796875,-0.0083935540169477,0.0175939667969942,-0.0338422171771526
1743715035133497600,0.25949755859375,0.0298830970883369,0.0033972412228584,0.0508185522850602,1743715035133497600,0.25949755859375,-0.0122394803911447,0.0085913725197315,-0.0319103226065635
1743715035143461600,0.269461669921875,0.0362672451674938,-0.0122258598446846,0.0760624452654272,1743715035143461600,0.269461669921875,-0.0131449550390243,0.0013851248659193,-0.0403181873261928
1743715035153424600,0.279424560546875,0.0433130720257759,0.0202396549522876,0.0232763922996819,1743715035153424600,0.279424560546875,-0.0111802574247121,-0.0019897054880857,-0.0554561838507652
1743715035163388700,0.289388671875,0.0177811558842659,0.0637222383260726,0.0074914517339318,1743715035163388700,0.289388671875,-0.0029795859009027,0.003514249343425,-0.0629415288567543
1743715035173351700,0.2993515625,-0.0253138894766569,0.0797141727060079,0.0139976187575608,1743715035173351700,0.2993515625,0.0037197466008365,0.0056947828270494,-0.0576609820127487
1743715035183314700,0.309314697265625,-0.0709580347985029,0.0874292771279811,0.0337183644022792,1743715035183314700,0.309314697265625,0.0121526457369327,0.0007580813253298,-0.0427528731524944
1743715035193278700,0.31927880859375,-0.0843371563315391,0.075489833009243,0.0333382790435105,1743715035193278700,0.31927880859375,0.0129695637151598,-0.0021234380546957,-0.0257472079247236
1743715035203241700,0.32924169921875,-0.0632803397774696,0.0408569110453128,0.038005394071713,1743715035203241700,0.32924169921875,0.0124957878142595,-0.0031767182517796,-0.0208794809877872
1743715035213205800,0.339205810546875,-0.0070090019792318,0.0055751697838306,0.040240751908347,1743715035213205800,0.339205810546875,0.0105354879051446,-0.0057583251036703,-0.025863092392683
1743715035223168800,0.349168701171875,0.0322802213579416,-0.0272521640628576,0.0027366584222763,1743715035223168800,0.349168701171875,0.0039699962362647,-0.0085589056834578,-0.036794040352106
1743715035233132800,0.3591328125,0.0559235472738742,-0.0592103138595819,-0.0337570159122347,1743715035233132800,0.3591328125,-0.0022818064317107,-0.0120634976774454,-0.0511743314564228
1743715035243095600,0.369095458984375,0.0710620796948671,-0.058214288559556,-0.045964755578339,1743715035243095600,0.369095458984375,-0.0051247309893369,-0.0110602853819727,-0.059669017791748
1743715035253059800,0.379059814453125,0.0542787026762962,-0.03049275341928,-0.0774118140477687,1743715035253059800,0.379059814453125,-0.008308864198625,-0.0107768271118402,-0.0600940361618995
1743715035263022600,0.389022705078125,0.0296948810398578,-0.0273620541781187,-0.0614870996851474,1743715035263022600,0.389022705078125,-0.0041559305973351,-0.0070878160186111,-0.0506299659609794
1743715035272985600,0.398985595703125,-0.0221387665718793,0.0044955578535795,-0.0251279384505003,1743715035272985600,0.398985595703125,5.3905067034e-05,0.0026888730935752,-0.04085323959589
1743715035282949600,0.40894970703125,-0.0407639720648527,0.064946811684966,-0.0177070677347481,1743715035282949600,0.40894970703125,-0.0034715875517576,-0.0001047828627633,-0.031786773353815
1743715035292912600,0.41891259765625,-0.0810229172170162,0.0903530556201934,-0.0082850863296538,1743715035292912600,0.41891259765625,-0.0035335794091224,-0.004215876571834,-0.0266151782125234
1743715035302876700,0.428876708984375,-0.0732534522593021,0.0779676212996244,0.0250579419542104,1743715035302876700,0.428876708984375,-0.0041964403353631,-0.0051831370219588,-0.0232667867094278
1743715035312839700,0.438839599609375,-0.0889455269098281,0.0755704970300197,0.0597910363569855,1743715035312839700,0.438839599609375,-0.0051607429049909,-0.0063084354624152,-0.0275289267301559
1743715035322803700,0.4488037109375,-0.0614694909632205,0.0273936183601617,0.0400468367714434,1743715035322803700,0.4488037109375,-0.0052608777768909,-0.0048753884620964,-0.0311545543372631
1743715035332766700,0.4587666015625,-0.0119318453341722,0.0295166018635034,0.0086623221442103,1743715035332766700,0.4587666015625,-0.0046265129931271,-0.0071489294059574,-0.0332214348018169
1743715035342730800,0.468730712890625,0.0087853640019893,0.0100087683171033,0.0065736793018877,1743715035342730800,0.468730712890625,-0.0065471846610307,-0.0047209253534674,-0.0324611030519008
1743715035352693800,0.47869384765625,0.0176619134187698,-0.0220288764566183,0.0070917848918586,1743715035352693800,0.47869384765625,-0.0048804297111928,-0.0021786005236208,-0.0284221414476633
1743715035362656800,0.48865673828125,0.0179500827103853,-0.0166746559470891,-0.010396817786619,1743715035362656800,0.48865673828125,-0.0074959197081625,-0.0067120995372533,-0.0250817369669675
1743715035372620800,0.498620849609375,0.0309872589379549,-0.0101408702641725,-0.0173847769778221,1743715035372620800,0.498620849609375,-0.0081952940672636,-0.0114585421979427,-0.0296146869659423
1743715035382583800,0.508583740234375,0.0406143344610929,-0.0162947167187929,-0.0170688428964465,1743715035382583800,0.508583740234375,-0.0097532430663704,-0.0085415821522474,-0.0336163528263568
1743715035392547800,0.5185478515625,0.0158171623349189,-0.0165893157511949,0.0170291684731841,1743715035392547800,0.5185478515625,-0.0090990802273154,-0.0051468103192746,-0.0400167182087898
1743715035402510600,0.528510498046875,-0.0241729027479887,-0.0042839609295129,0.0528583144843578,1743715035402510600,0.528510498046875,-0.0047043319791555,0.0005528870387934,-0.0395898148417472
1743715035412474600,0.538474609375,-0.038387306061387,0.0232680628627538,0.0947531902752816,1743715035412474600,0.538474609375,-0.0003057088470086,0.0046815327368676,-0.0375591665506362
1743715035422437600,0.548437744140625,-0.0388742127954959,0.0351017085194587,0.0831000888172537,1743715035422437600,0.548437744140625,0.0048831938765943,0.0050229495391249,-0.0302634332329034
1743715035432401700,0.558401611328125,-0.0399099855840206,0.0189905316740274,0.0442936074957251,1743715035432401700,0.558401611328125,0.0015854294179007,0.0036726167891174,-0.027617335319519
1743715035442364700,0.56836474609375,-0.0279670343339443,-0.0146656542122364,0.0291061944317072,1743715035442364700,0.56836474609375,-0.0040852394886314,-0.004170392639935,-0.0234875716269016
1743715035452328700,0.57832861328125,-0.0175128603368997,-0.0508376223117113,0.0076418930552899,1743715035452328700,0.57832861328125,-0.0075841848738491,-0.0093375211581587,-0.0254798494279384
1743715035462291700,0.588291748046875,-0.0013251111239194,-0.0493406617522239,0.0058097091920673,1743715035462291700,0.588291748046875,-0.0104710515588521,-0.0140670295804739,-0.0250076688826084
1743715035472255700,0.598255859375,0.0093856679826974,-0.0209948572337627,0.0087094492215663,1743715035472255700,0.598255859375,-0.0093867350369691,-0.0087294299155473,-0.0272040087729692
1743715035482218800,0.60821875,-0.0126513917803764,-0.018774843096733,0.0174410372097045,1743715035482218800,0.60821875,-0.0079169357195496,-0.0056686592288315,-0.0256274174898862
1743715035492181800,0.618181640625,-0.0140133277833461,-0.0159235453188419,0.0354590705897659,1743715035492181800,0.618181640625,-0.0042668310925364,-0.0069400928914546,-0.0229927133768796
1743715035502145800,0.628145751953125,-0.0045545945644378,-0.0125736503690481,0.0329766061242669,1743715035502145800,0.628145751953125,0.0002903698477894,-0.0043158140033483,-0.0176384281367063
